Year,Month,Median,SD
0,0,50.4,1.8
0,1,54.8,2.1
0,2,58.7,2.3
0,3,62,2.3
0,4,64.6,2.3
0,5,66.7,2.4
0,6,68.4,2.4
0,7,69.8,2.5
0,8,71.2,2.5
0,9,72.6,2.6
0,10,74,2.6
0,11,75.3,2.7
1,12,76.5,2.8
1,15,79.8,3
1,18,82.7,3.1
1,21,85.6,3.4
2,24,88.5,3.6
2,27,91.1,3.7
2,30,93.3,3.8
2,33,95.4,3.9
3,36,97.5,3.9
3,39,98.8,3.9
3,42,100.6,3.9
3,45,102.4,4
4,48,104.1,4.1
4,51,105.9,4.1
4,54,107.7,4.2
4,57,109.5,4.3
5,60,111.3,4.4
5,63,113,4.5
5,66,114.7,4.5
5,69,116.3,4.6
6,72,117.7,4.7
6,75,119.2,4.8
6,78,120.7,4.9
6,81,122.3,5
7,84,125.48,5.99
8,96,130.72,6.18
9,108,135.81,6.54
10,120,140.76,6.99
11,132,146.01,7.81
12,144,152.18,8.85
13,156,160.19,8.59
14,168,165.63,7.71
15,180,169.02,6.89
16,192,170.58,6.43
17,204,171.39,6.31
18,216,171.42,6.31
