Year,Month,Median,SD
0,0,49.7,1.7
0,1,53.7,2
0,2,57.4,2.2
0,3,60.6,2.2
0,4,63.1,2.3
0,5,65.2,2.2
0,6,66.8,2.3
0,7,68.2,2.4
0,8,69.6,2.5
0,9,71,2.6
0,10,72.4,2.6
0,11,73.7,2.7
1,12,75,2.7
1,15,78.5,2.9
1,18,81.5,3.1
1,21,84.4,3.3
2,24,87.2,3.5
2,27,89.8,3.7
2,30,92.1,3.8
2,33,94.3,3.8
3,36,96.3,3.8
3,39,97.5,3.9
3,42,99.4,3.9
3,45,101.2,3.9
4,48,103.1,3.9
4,51,104.9,4.1
4,54,106.7,4.2
4,57,108.5,4.3
5,60,110.2,4.3
5,63,111.9,4.3
5,66,113.5,4.5
5,69,115.2,4.5
6,72,116.6,4.6
6,75,118,4.7
6,78,119.4,4.9
6,81,121,4.9
7,84,124.13,5.92
8,96,129.34,6.25
9,108,134.91,6.8
10,120,141.18,7.39
11,132,147.36,7.63
12,144,152.41,7.15
13,156,156.07,6.16
14,168,157.78,5.8
15,180,158.47,5.72
16,192,158.93,5.67
17,204,159.18,5.68
18,216,160.01,5.73
